brand,model,year,mileage,color
toyota,cruiser,2008,274117,black
ford,se,2011,190552,silver
dodge,mpv,2018,39590,silver
ford,door,2014,64146,blue
chevrolet,1500,2018,6654,red
dodge,mpv,2018,45561,white
chevrolet,pk,2010,149050,black
gmc,door,2017,23525,gray
chevrolet,malibu,2018,9371,silver
ford,mpv,2017,63418,black
dodge,coupe,2009,107856,orange
