Name,Rating,Rating Count,Price Category,Address,ZipCode
Bayonne BBQ & Wings,4.1,57,2,"523 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
BLACKBARN Restaurant,4.4,1101,3,"19 E 26th St, New York, NY 10010",10010
GOLDEN WUISH (THE DUCKHOUSE),4.4,243,2,"6 Platt St, New York, NY 10038",10038
The Mark Restaurant by Jean-Georges,3.4,251,,"25 E 77th St, New York, NY 10075",10075
"Lorenzo’s Restaurant, Bar & Cabaret",4.3,493,2,"1100 South Ave, Staten Island, NY 10314",10314
